id,title,userId,rating
0,Toy Story (1995),1,4.0
1,Toy Story (1995),5,4.0
2,Toy Story (1995),7,4.5
3,Toy Story (1995),15,2.5
4,Toy Story (1995),17,4.5
5,Toy Story (1995),18,3.5
6,Toy Story (1995),19,4.0
7,Toy Story (1995),21,3.5
8,Toy Story (1995),27,3.0
9,Toy Story (1995),31,5.0
10,Toy Story (1995),32,3.0
11,Toy Story (1995),33,3.0
12,Toy Story (1995),40,5.0
13,Toy Story (1995),43,5.0
14,Toy Story (1995),44,3.0
15,Toy Story (1995),45,4.0
16,Toy Story (1995),46,5.0
17,Toy Story (1995),50,3.0
18,Toy Story (1995),54,3.0
19,Toy Story (1995),57,5.0
20,Toy Story (1995),63,5.0
21,Toy Story (1995),64,4.0
22,Toy Story (1995),66,4.0
23,Toy Story (1995),68,2.5
24,Toy Story (1995),71,5.0
25,Toy Story (1995),73,4.5
26,Toy Story (1995),76,0.5
27,Toy Story (1995),78,4.0
28,Toy Story (1995),82,2.5
29,Toy Story (1995),86,4.0
30,Toy Story (1995),89,3.0
31,Toy Story (1995),90,3.0
32,Toy Story (1995),91,4.0
33,Toy Story (1995),93,3.0
34,Toy Story (1995),96,5.0
35,Toy Story (1995),98,4.5
36,Toy Story (1995),103,4.0
37,Toy Story (1995),107,4.0
38,Toy Story (1995),112,3.0
39,Toy Story (1995),119,3.5
40,Toy Story (1995),121,4.0
41,Toy Story (1995),124,4.0
42,Toy Story (1995),130,3.0
43,Toy Story (1995),132,2.0
44,Toy Story (1995),134,3.0
45,Toy Story (1995),135,4.0
46,Toy Story (1995),137,4.0
47,Toy Story (1995),140,3.0
48,Toy Story (1995),141,4.0
49,Toy Story (1995),144,3.5
50,Toy Story (1995),145,5.0
51,Toy Story (1995),151,5.0
52,Toy Story (1995),153,2.0
53,Toy Story (1995),155,3.0
54,Toy Story (1995),156,4.0
55,Toy Story (1995),159,4.5
56,Toy Story (1995),160,4.0
57,Toy Story (1995),161,4.0
58,Toy Story (1995),166,5.0
59,Toy Story (1995),167,3.5
60,Toy Story (1995),169,4.5
61,Toy Story (1995),171,5.0
62,Toy Story (1995),177,5.0
63,Toy Story (1995),178,4.0
64,Toy Story (1995),179,4.0
65,Toy Story (1995),182,4.0
66,Toy Story (1995),185,4.0
67,Toy Story (1995),186,4.0
68,Toy Story (1995),191,4.0
69,Toy Story (1995),193,2.0
70,Toy Story (1995),200,3.5
71,Toy Story (1995),201,5.0
72,Toy Story (1995),202,4.0
73,Toy Story (1995),206,5.0
74,Toy Story (1995),213,3.5
75,Toy Story (1995),214,3.0
76,Toy Story (1995),216,3.0
77,Toy Story (1995),217,4.0
78,Toy Story (1995),219,3.5
79,Toy Story (1995),220,5.0
80,Toy Story (1995),223,3.5
81,Toy Story (1995),226,3.5
82,Toy Story (1995),229,5.0
83,Toy Story (1995),232,3.5
84,Toy Story (1995),233,3.0
85,Toy Story (1995),234,5.0
86,Toy Story (1995),239,4.0
87,Toy Story (1995),240,5.0
88,Toy Story (1995),247,5.0
89,Toy Story (1995),249,4.0
90,Toy Story (1995),252,4.5
91,Toy Story (1995),254,4.5
92,Toy Story (1995),263,4.0
93,Toy Story (1995),264,4.0
94,Toy Story (1995),266,2.0
95,Toy Story (1995),269,5.0
96,Toy Story (1995),270,5.0
97,Toy Story (1995),273,5.0
98,Toy Story (1995),274,4.0
99,Toy Story (1995),275,5.0
100,Toy Story (1995),276,4.0
101,Toy Story (1995),277,4.0
102,Toy Story (1995),279,3.0
103,Toy Story (1995),280,4.5
104,Toy Story (1995),282,4.5
105,Toy Story (1995),283,3.0
106,Toy Story (1995),288,4.5
107,Toy Story (1995),290,4.0
108,Toy Story (1995),291,4.0
109,Toy Story (1995),292,4.0
110,Toy Story (1995),293,3.0
111,Toy Story (1995),298,2.0
112,Toy Story (1995),304,5.0
113,Toy Story (1995),307,4.0
114,Toy Story (1995),314,3.0
115,Toy Story (1995),322,3.5
116,Toy Story (1995),323,3.5
117,Toy Story (1995),328,5.0
118,Toy Story (1995),330,4.0
119,Toy Story (1995),332,4.0
120,Toy Story (1995),334,3.5
121,Toy Story (1995),336,4.0
122,Toy Story (1995),337,4.0
123,Toy Story (1995),339,4.0
124,Toy Story (1995),341,5.0
125,Toy Story (1995),347,5.0
126,Toy Story (1995),350,4.0
127,Toy Story (1995),353,5.0
128,Toy Story (1995),357,5.0
129,Toy Story (1995),359,4.0
130,Toy Story (1995),364,5.0
131,Toy Story (1995),367,5.0
132,Toy Story (1995),372,3.0
133,Toy Story (1995),373,3.0
134,Toy Story (1995),378,4.5
135,Toy Story (1995),380,5.0
136,Toy Story (1995),381,3.5
137,Toy Story (1995),382,4.5
138,Toy Story (1995),385,4.0
139,Toy Story (1995),389,5.0
140,Toy Story (1995),391,3.0
141,Toy Story (1995),396,5.0
142,Toy Story (1995),399,4.0
143,Toy Story (1995),401,3.5
144,Toy Story (1995),411,5.0
145,Toy Story (1995),412,2.0
146,Toy Story (1995),414,4.0
147,Toy Story (1995),420,4.0
148,Toy Story (1995),422,4.0
149,Toy Story (1995),432,2.5
150,Toy Story (1995),434,4.0
151,Toy Story (1995),436,4.0
152,Toy Story (1995),438,4.5
153,Toy Story (1995),443,4.0
154,Toy Story (1995),448,5.0
155,Toy Story (1995),451,5.0
156,Toy Story (1995),453,5.0
157,Toy Story (1995),456,5.0
158,Toy Story (1995),460,4.5
159,Toy Story (1995),462,1.5
160,Toy Story (1995),468,4.0
161,Toy Story (1995),469,4.0
162,Toy Story (1995),470,4.0
163,Toy Story (1995),471,5.0
164,Toy Story (1995),474,4.0
165,Toy Story (1995),476,4.0
166,Toy Story (1995),477,4.0
167,Toy Story (1995),480,3.0
168,Toy Story (1995),483,4.0
169,Toy Story (1995),484,4.5
170,Toy Story (1995),488,4.5
171,Toy Story (1995),490,3.5
172,Toy Story (1995),492,4.0
173,Toy Story (1995),500,4.0
174,Toy Story (1995),504,4.0
175,Toy Story (1995),509,4.0
176,Toy Story (1995),514,4.0
177,Toy Story (1995),517,4.0
178,Toy Story (1995),522,3.0
179,Toy Story (1995),524,4.0
180,Toy Story (1995),525,4.0
181,Toy Story (1995),528,2.5
182,Toy Story (1995),529,3.0
183,Toy Story (1995),533,5.0
184,Toy Story (1995),534,4.0
185,Toy Story (1995),541,3.0
186,Toy Story (1995),544,3.0
187,Toy Story (1995),550,4.0
188,Toy Story (1995),555,4.0
189,Toy Story (1995),559,5.0
190,Toy Story (1995),560,3.0
191,Toy Story (1995),561,4.0
192,Toy Story (1995),562,4.5
193,Toy Story (1995),567,3.5
194,Toy Story (1995),570,4.0
195,Toy Story (1995),572,4.0
196,Toy Story (1995),573,5.0
197,Toy Story (1995),579,4.0
198,Toy Story (1995),580,3.0
199,Toy Story (1995),584,5.0
200,Toy Story (1995),587,5.0
201,Toy Story (1995),590,4.0
202,Toy Story (1995),596,4.0
203,Toy Story (1995),597,4.0
204,Toy Story (1995),599,3.0
205,Toy Story (1995),600,2.5
206,Toy Story (1995),601,4.0
207,Toy Story (1995),603,4.0
208,Toy Story (1995),604,3.0
209,Toy Story (1995),605,4.0
210,Toy Story (1995),606,2.5
211,Toy Story (1995),607,4.0
212,Toy Story (1995),608,2.5
213,Toy Story (1995),609,3.0
214,Toy Story (1995),610,5.0
215,Jumanji (1995),6,4.0
216,Jumanji (1995),8,4.0
217,Jumanji (1995),18,3.0
218,Jumanji (1995),19,3.0
219,Jumanji (1995),20,3.0
220,Jumanji (1995),21,3.5
221,Jumanji (1995),27,4.0
222,Jumanji (1995),51,4.5
223,Jumanji (1995),62,4.0
224,Jumanji (1995),68,2.5
225,Jumanji (1995),82,3.0
226,Jumanji (1995),91,3.0
227,Jumanji (1995),93,5.0
228,Jumanji (1995),94,4.0
229,Jumanji (1995),103,4.0
230,Jumanji (1995),104,3.0
231,Jumanji (1995),107,5.0
232,Jumanji (1995),112,1.5
233,Jumanji (1995),117,3.0
234,Jumanji (1995),122,4.0
235,Jumanji (1995),125,4.0
236,Jumanji (1995),135,3.0
237,Jumanji (1995),140,3.5
